Company ID,Wage,Wage Type,Zip Code of Residence
8,"9,746.00",Salary,97035
8,"104,704.00",Salary,97224
8,"48,498.00",Salary,97224
8,"102,048.00",Salary,97004
8,"118,935.00",Salary,33596
8,"76,438.00",Salary,97209
8,"145,621.00",Salary,22406
8,29.91,Hourly,97070
8,22.09,Hourly,97008
8,23.99,Hourly,97223
8,17.03,Hourly,98682
8,18.79,Hourly,97006
8,16.74,Hourly,97007
15,"127,008.00",Salary,56011
15,"107,937.00",Salary,55439
15,"48,908.00",Salary,55317
15,"106,768.00",Salary,55410
15,"66,089.00",Salary,55344
15,"83,506.00",Salary,55110
15,"117,776.00",Salary,55352
15,"109,696.00",Salary,55379
15,"103,395.00",Salary,55431
15,"108,143.00",Salary,55311
15,"163,488.00",Salary,55317
15,"116,807.00",Salary,55318
15,"110,651.00",Salary,55344
15,"118,035.00",Salary,55365
15,"211,675.00",Salary,55082
15,"73,555.00",Salary,55430
15,"157,533.00",Salary,55386
15,"60,352.00",Salary,55364
15,"173,526.00",Salary,55417
15,"148,577.00",Salary,55441
15,"78,130.00",Salary,56011
15,"83,731.00",Salary,55734
15,"96,387.00",Salary,55423
15,"95,832.00",Salary,55125
15,"87,621.00",Salary,55125
15,"116,577.00",Salary,55369
19,"75,421.00",Salary,55416
19,"59,646.00",Salary,55416
19,"102,527.00",Salary,55306
19,"48,120.00",Salary,56071
19,"78,923.00",Salary,55311
19,"59,923.00",Salary,55441
19,"173,796.00",Salary,55356
19,"46,043.00",Salary,55116
19,"36,127.00",Salary,55122
19,"72,172.00",Salary,56071
19,11.94,Hourly,55304
19,"73,064.00",Salary,10524
19,"37,662.00",Salary,55311
19,15.25,Hourly,55345
19,"48,811.00",Salary,55404
19,"57,897.00",Salary,55305
19,"90,709.00",Salary,55305
19,12.06,Hourly,55311
19,"75,946.00",Salary,55311
19,"86,588.00",Salary,55103
19,"106,697.00",Salary,55369
19,"53,001.00",Salary,55422
19,"69,753.00",Salary,55376
19,14.98,Hourly,55416
19,"72,180.00",Salary,55372
19,"59,277.00",Salary,55372
19,"67,872.00",Salary,55124
19,"94,889.00",Salary,55315
19,"71,623.00",Salary,54313
19,"31,650.00",Salary,55104
19,"10,219.00",Salary,55426
19,"41,706.00",Salary,55330
22,"106,652.00",Salary,28173
22,14.78,Hourly,55433
22,"123,267.40",Salary,55423
22,"101,749.34",Salary,54022
22,"59,774.70",Salary,55076
22,"340,894.00",Salary,55127
22,"96,271.84",Salary,55424
22,"93,397.85",Salary,55406
22,23.57,Hourly,55110
22,"75,878.00",Salary,8052
22,"98,361.00",Salary,75033
22,"145,939.00",Salary,55128
22,"67,478.00",Salary,41094
22,19.40,Hourly,55119
22,"169,279.13",Salary,55119
22,"75,260.00",Salary,37203
22,"72,171.00",Salary,95762
22,"70,230.00",Salary,85286
22,"162,971.00",Salary,55038
22,"146,439.00",Salary,55123
22,"118,825.53",Salary,55112
22,"66,977.00",Salary,21904
22,"155,834.80",Salary,55346
22,"70,929.00",Salary,27858
22,"73,991.00",Salary,79912
