ZCTA5,MEMI,CBSA,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
31803,1,17980,5550,2705,710723904,707969141,5662,2754,735146022,732376331,294865,128214,5075859542,5014563083,98.02,98.22,96.68,96.67,1.88,2.11,14,14.12
31804,1,17980,5934,2306,136985259,136302851,5934,2306,136985259,136302851,294865,128214,5075859542,5014563083,100,100,100,100,2.01,1.8,2.7,2.72
31805,1,17980,3113,1500,156364821,155900515,3191,1538,184050895,183426029,294865,128214,5075859542,5014563083,97.56,97.53,84.96,84.99,1.06,1.17,3.08,3.11
31806,2,11140,4906,2163,416644316,414282866,4962,2192,428315803,425878291,37829,16117,1710627778,1682463448,98.87,98.68,97.28,97.28,12.97,13.42,24.36,24.62
31807,1,17980,2483,932,30624832,30112448,2483,932,30624832,30112448,294865,128214,5075859542,5014563083,100,100,100,100,0.84,0.73,0.6,0.6
31808,1,17980,6679,2606,138718520,134602667,6679,2606,138718520,134602667,294865,128214,5075859542,5014563083,100,100,100,100,2.27,2.03,2.73,2.68
31811,1,17980,5103,2250,350096609,338576780,5103,2250,350096609,338576780,294865,128214,5075859542,5014563083,100,100,100,100,1.73,1.75,6.9,6.75
31816,1,12060,5693,2642,89257094,88268898,6091,2824,103751756,102748589,5268860,2165495,21965773272,21596721304,93.47,93.56,86.03,85.91,0.11,0.12,0.41,0.41
31820,1,17980,8473,3043,104393523,103509211,8473,3043,104393523,103509211,294865,128214,5075859542,5014563083,100,100,100,100,2.87,2.37,2.06,2.06
31822,1,12060,642,293,51755315,51559370,5429,2542,298882801,296912010,5268860,2165495,21965773272,21596721304,11.83,11.53,17.32,17.37,0.01,0.01,0.24,0.24
31822,1,17980,3066,1559,149417338,147988051,5429,2542,298882801,296912010,294865,128214,5075859542,5014563083,56.47,61.33,49.99,49.84,1.04,1.22,2.94,2.95
31822,2,29300,1721,690,97710148,97364589,5429,2542,298882801,296912010,67044,28046,1155036004,1072223976,31.7,27.14,32.69,32.79,2.57,2.46,8.46,9.08
31823,1,17980,754,341,22253417,22097797,754,341,22253417,22097797,294865,128214,5075859542,5014563083,100,100,100,100,0.26,0.27,0.44,0.44
31826,1,17980,1284,577,89060642,88850601,2350,1083,135788138,135410050,294865,128214,5075859542,5014563083,54.64,53.28,65.59,65.62,0.44,0.45,1.75,1.77
31829,1,17980,1370,528,30430565,30221177,1370,528,30430565,30221177,294865,128214,5075859542,5014563083,100,100,100,100,0.46,0.41,0.6,0.6
31830,1,12060,2107,948,127757761,126585736,2191,1010,142023838,140774472,5268860,2165495,21965773272,21596721304,96.17,93.86,89.96,89.92,0.04,0.04,0.58,0.59
31830,1,17980,84,62,14266077,14188736,2191,1010,142023838,140774472,294865,128214,5075859542,5014563083,3.83,6.14,10.04,10.08,0.03,0.05,0.28,0.28
31831,1,17980,2725,1153,114473090,113966315,3095,1342,173061029,172461334,294865,128214,5075859542,5014563083,88.05,85.92,66.15,66.08,0.92,0.9,2.26,2.27
31833,1,17980,2051,940,156485903,152535966,6900,3013,258723223,253999664,294865,128214,5075859542,5014563083,29.72,31.2,60.48,60.05,0.7,0.73,3.08,3.04
31833,2,29300,4849,2073,102237320,101463698,6900,3013,258723223,253999664,67044,28046,1155036004,1072223976,70.28,68.8,39.52,39.95,7.23,7.39,8.85,9.46
31901,1,17980,8638,4155,12272049,11526212,8638,4155,12272049,11526212,294865,128214,5075859542,5014563083,100,100,100,100,2.93,3.24,0.24,0.23
31903,1,17980,20128,9140,27088303,25938344,20128,9140,27088303,25938344,294865,128214,5075859542,5014563083,100,100,100,100,6.83,7.13,0.53,0.52
31904,1,17980,32871,14926,82443233,74671590,32871,14926,82443233,74671590,294865,128214,5075859542,5014563083,100,100,100,100,11.15,11.64,1.62,1.49
31905,1,17980,16044,4277,101067952,99786206,16044,4277,101067952,99786206,294865,128214,5075859542,5014563083,100,100,100,100,5.44,3.34,1.99,1.99
31906,1,17980,21757,10939,17800467,17793907,21757,10939,17800467,17793907,294865,128214,5075859542,5014563083,100,100,100,100,7.38,8.53,0.35,0.35
31907,1,17980,55332,22774,59784517,59510015,55332,22774,59784517,59510015,294865,128214,5075859542,5014563083,100,100,100,100,18.77,17.76,1.18,1.19
31909,1,17980,35177,15407,47633087,47153991,35177,15407,47633087,47153991,294865,128214,5075859542,5014563083,100,100,100,100,11.93,12.02,0.94,0.94
32003,1,27260,27126,10440,59199195,40991845,27126,10440,59199195,40991845,1345596,598490,9578857237,8290752876,100,100,100,100,2.02,1.74,0.62,0.49
32008,1,23540,1056,696,65573607,65123309,5309,3108,363406509,357646364,264275,120073,3429266274,3171950085,19.89,22.39,18.04,18.21,0.4,0.58,1.91,2.05
32009,1,27260,3325,1251,222848403,222820024,3325,1251,222848403,222820024,1345596,598490,9578857237,8290752876,100,100,100,100,0.25,0.21,2.33,2.69
32011,1,27260,13854,5436,449343397,449325484,13854,5436,449343397,449325484,1345596,598490,9578857237,8290752876,100,100,100,100,1.03,0.91,4.69,5.42
32024,2,29380,16635,6877,301173644,300838127,18733,7828,370783049,370447532,67531,28636,2075430306,2065707648,88.8,87.85,81.23,81.21,24.63,24.02,14.51,14.56
32025,2,29380,22380,8651,254509002,252379671,22380,8651,254509002,252379671,67531,28636,2075430306,2065707648,100,100,100,100,33.14,30.21,12.26,12.22
32033,1,27260,4118,1858,201979391,199446965,4118,1858,201979391,199446965,1345596,598490,9578857237,8290752876,100,100,100,100,0.31,0.31,2.11,2.41
32034,1,27260,31008,18262,184635600,146829630,31008,18262,184635600,146829630,1345596,598490,9578857237,8290752876,100,100,100,100,2.3,3.05,1.93,1.77
32038,2,29380,9228,4476,277974310,277774111,9228,4476,277974310,277774111,67531,28636,2075430306,2065707648,100,100,100,100,13.66,15.63,13.39,13.45
32040,1,27260,7604,2880,315303225,315303225,7604,2880,315303225,315303225,1345596,598490,9578857237,8290752876,100,100,100,100,0.57,0.48,3.29,3.8
32043,1,27260,24460,9667,513896254,478864747,24632,9751,560143028,525111521,1345596,598490,9578857237,8290752876,99.3,99.14,91.74,91.19,1.82,1.62,5.36,5.78
32043,2,37260,172,84,46246774,46246774,24632,9751,560143028,525111521,74364,37337,2141716683,1884532662,0.7,0.86,8.26,8.81,0.23,0.22,2.16,2.45
32046,1,27260,9410,3794,502460288,499968665,9410,3794,502460288,499968665,1345596,598490,9578857237,8290752876,100,100,100,100,0.7,0.63,5.25,6.03
32055,2,29380,16570,7353,488677620,485795955,16570,7353,488677620,485795955,67531,28636,2075430306,2065707648,100,100,100,100,24.54,25.68,23.55,23.52
32058,1,27260,29,16,8575830,8575830,4416,1541,186888117,186872679,1345596,598490,9578857237,8290752876,0.66,1.04,4.59,4.59,0,0,0.09,0.1
32061,2,29380,283,119,56947026,56947026,283,119,56947026,56947026,67531,28636,2075430306,2065707648,100,100,100,100,0.42,0.42,2.74,2.76
32063,1,27260,13429,4905,264758908,264700313,13429,4905,264758908,264700313,1345596,598490,9578857237,8290752876,100,100,100,100,1,0.82,2.76,3.19
32065,1,27260,32770,12339,48312644,45170067,32770,12339,48312644,45170067,1345596,598490,9578857237,8290752876,100,100,100,100,2.44,2.06,0.5,0.54
32068,1,27260,50815,19029,262592739,261822481,50815,19029,262592739,261822481,1345596,598490,9578857237,8290752876,100,100,100,100,3.78,3.18,2.74,3.16
32072,1,27260,324,162,76744188,69445283,324,162,76744188,69445283,1345596,598490,9578857237,8290752876,100,100,100,100,0.02,0.03,0.8,0.84
32073,1,27260,38920,16219,50396483,42522834,38920,16219,50396483,42522834,1345596,598490,9578857237,8290752876,100,100,100,100,2.89,2.71,0.53,0.51
32079,1,27260,433,249,1358635,1358635,433,249,1358635,1358635,1345596,598490,9578857237,8290752876,100,100,100,100,0.03,0.04,0.01,0.02
32080,1,27260,20165,15059,65423755,40288916,20165,15059,65423755,40288916,1345596,598490,9578857237,8290752876,100,100,100,100,1.5,2.52,0.68,0.49
32081,1,27260,4524,1704,102268219,98953530,4524,1704,102268219,98953530,1345596,598490,9578857237,8290752876,100,100,100,100,0.34,0.28,1.07,1.19
32082,1,27260,28996,14983,123384046,86123757,28996,14983,123384046,86123757,1345596,598490,9578857237,8290752876,100,100,100,100,2.15,2.5,1.29,1.04
32084,1,27260,29729,14795,134861009,123303172,29729,14795,134861009,123303172,1345596,598490,9578857237,8290752876,100,100,100,100,2.21,2.47,1.41,1.49
32086,1,27260,24546,11849,185712856,170434119,24546,11849,185712856,170434119,1345596,598490,9578857237,8290752876,100,100,100,100,1.82,1.98,1.94,2.06
32087,1,27260,5518,1651,351879320,349779045,5518,1651,351879320,349779045,1345596,598490,9578857237,8290752876,100,100,100,100,0.41,0.28,3.67,4.22
32091,1,27260,445,386,23960695,16120303,15472,7015,365333804,345553667,1345596,598490,9578857237,8290752876,2.88,5.5,6.56,4.67,0.03,0.06,0.25,0.19
32092,1,27260,28242,11055,338400144,326189105,28242,11055,338400144,326189105,1345596,598490,9578857237,8290752876,100,100,100,100,2.1,1.85,3.53,3.93
32094,2,29380,205,83,16108036,16030223,2724,1267,150764632,149821008,67531,28636,2075430306,2065707648,7.53,6.55,10.68,10.7,0.3,0.29,0.78,0.78
32095,1,27260,7302,3063,135980317,129070864,7302,3063,135980317,129070864,1345596,598490,9578857237,8290752876,100,100,100,100,0.54,0.51,1.42,1.56
32096,2,29380,901,436,241734061,241187473,2635,1340,422832179,420665065,67531,28636,2075430306,2065707648,34.19,32.54,57.17,57.33,1.33,1.52,11.65,11.68
32097,1,27260,15616,6223,370233823,343981607,15616,6223,370233823,343981607,1345596,598490,9578857237,8290752876,100,100,100,100,1.16,1.04,3.87,4.15
32102,1,19660,566,572,37210622,34135336,2565,1996,177427312,163030476,494593,254226,3709990171,2851658690,22.07,28.66,20.97,20.94,0.11,0.22,1,1.2
32102,1,36740,1999,1424,140216690,128895140,2565,1996,177427312,163030476,2134411,942312,10389538806,9009231940,77.93,71.34,79.03,79.06,0.09,0.15,1.35,1.43
32110,1,37380,7600,3602,694153200,682769486,7600,3602,694153200,682769486,95696,48595,1478428576,1257337716,100,100,100,100,7.94,7.41,46.95,54.3
32112,2,37260,7713,4144,194734313,137195639,7713,4144,194734313,137195639,74364,37337,2141716683,1884532662,100,100,100,100,10.37,11.1,9.09,7.28
32113,1,36100,6627,2935,215623020,204222317,6627,2935,215623020,204222317,331298,164050,4306141125,4103955681,100,100,100,100,2,1.79,5.01,4.98
32114,1,19660,32084,15666,45984786,43833609,32084,15666,45984786,43833609,494593,254226,3709990171,2851658690,100,100,100,100,6.49,6.16,1.24,1.54
32117,1,19660,24170,12525,31045889,29288265,24170,12525,31045889,29288265,494593,254226,3709990171,2851658690,100,100,100,100,4.89,4.93,0.84,1.03
32118,1,19660,16961,15473,22717337,10970634,16961,15473,22717337,10970634,494593,254226,3709990171,2851658690,100,100,100,100,3.43,6.09,0.61,0.38
32119,1,19660,20189,11626,23329199,20272503,20189,11626,23329199,20272503,494593,254226,3709990171,2851658690,100,100,100,100,4.08,4.57,0.63,0.71
32124,1,19660,5986,1337,117713704,116944272,5986,1337,117713704,116944272,494593,254226,3709990171,2851658690,100,100,100,100,1.21,0.53,3.17,4.1
32127,1,19660,29413,16485,55575715,41073595,29413,16485,55575715,41073595,494593,254226,3709990171,2851658690,100,100,100,100,5.95,6.48,1.5,1.44
32128,1,19660,16910,8051,87323285,86610157,16910,8051,87323285,86610157,494593,254226,3709990171,2851658690,100,100,100,100,3.42,3.17,2.35,3.04
32129,1,19660,20104,10753,19927852,19276444,20104,10753,19927852,19276444,494593,254226,3709990171,2851658690,100,100,100,100,4.06,4.23,0.54,0.68
32130,1,19660,5474,2203,263942927,239115078,5474,2203,263942927,239115078,494593,254226,3709990171,2851658690,100,100,100,100,1.11,0.87,7.11,8.39
32131,2,37260,4701,2049,112360978,87149181,4701,2049,112360978,87149181,74364,37337,2141716683,1884532662,100,100,100,100,6.32,5.49,5.25,4.62
32132,1,19660,7265,3830,19991675,19249333,7265,3830,19991675,19249333,494593,254226,3709990171,2851658690,100,100,100,100,1.47,1.51,0.54,0.68
32133,1,36100,137,75,914496,914496,137,75,914496,914496,331298,164050,4306141125,4103955681,100,100,100,100,0.04,0.05,0.02,0.02
32134,1,36100,7826,5783,533159258,484479533,8084,6087,691106024,621919161,331298,164050,4306141125,4103955681,96.81,95.01,77.15,77.9,2.36,3.53,12.38,11.81
32134,1,36740,24,16,11246661,8819904,8084,6087,691106024,621919161,2134411,942312,10389538806,9009231940,0.3,0.26,1.63,1.42,0,0,0.11,0.1
32134,2,37260,234,288,146700105,128619724,8084,6087,691106024,621919161,74364,37337,2141716683,1884532662,2.89,4.73,21.23,20.68,0.31,0.77,6.85,6.83
32136,1,19660,185,140,5644347,5191253,7080,5042,56002282,48871111,494593,254226,3709990171,2851658690,2.61,2.78,10.08,10.62,0.04,0.06,0.15,0.18
32136,1,37380,6895,4902,50357935,43679858,7080,5042,56002282,48871111,95696,48595,1478428576,1257337716,97.39,97.22,89.92,89.38,7.21,10.09,3.41,3.47
32137,1,37380,37821,20744,167735770,153476374,37821,20744,167735770,153476374,95696,48595,1478428576,1257337716,100,100,100,100,39.52,42.69,11.35,12.21
32139,2,37260,1129,797,53132512,30946534,1129,797,53132512,30946534,74364,37337,2141716683,1884532662,100,100,100,100,1.52,2.13,2.48,1.64
32140,2,37260,1741,865,74638566,71169920,1741,865,74638566,71169920,74364,37337,2141716683,1884532662,100,100,100,100,2.34,2.32,3.48,3.78
32141,1,19660,17603,8533,63055992,60921307,17603,8533,63055992,60921307,494593,254226,3709990171,2851658690,100,100,100,100,3.56,3.36,1.7,2.14
32145,1,27260,5456,2260,240626632,239315752,5456,2260,240626632,239315752,1345596,598490,9578857237,8290752876,100,100,100,100,0.41,0.38,2.51,2.89
32147,2,37260,593,255,44347079,44158904,593,255,44347079,44158904,74364,37337,2141716683,1884532662,100,100,100,100,0.8,0.68,2.07,2.34
32148,2,37260,11201,5579,230586136,218925487,11201,5579,230586136,218925487,74364,37337,2141716683,1884532662,100,100,100,100,15.06,14.94,10.77,11.62
32157,2,37260,407,285,5206969,4065806,407,285,5206969,4065806,74364,37337,2141716683,1884532662,100,100,100,100,0.55,0.76,0.24,0.22
32159,1,36740,20085,12289,83423447,72019289,28867,18159,94228636,82279717,2134411,942312,10389538806,9009231940,69.58,67.67,88.53,87.53,0.94,1.3,0.8,0.8
32159,2,45540,8782,5870,10805189,10260428,28867,18159,94228636,82279717,93420,53026,1501741032,1416548738,30.42,32.33,11.47,12.47,9.4,11.07,0.72,0.72
32162,1,36100,8008,5239,9191855,9120750,45180,31950,62158713,59904741,331298,164050,4306141125,4103955681,17.72,16.4,14.79,15.23,2.42,3.19,0.21,0.22
32162,2,45540,37172,26711,52966858,50783991,45180,31950,62158713,59904741,93420,53026,1501741032,1416548738,82.28,83.6,85.21,84.77,39.79,50.37,3.53,3.59
32164,1,37380,41616,18345,86981891,86384220,41616,18345,86981891,86384220,95696,48595,1478428576,1257337716,100,100,100,100,43.49,37.75,5.88,6.87
32168,1,19660,23642,12673,430756378,424964754,23642,12673,430756378,424964754,494593,254226,3709990171,2851658690,100,100,100,100,4.78,4.98,11.61,14.9
32169,1,19660,9816,11497,73358028,38218360,9816,11497,73358028,38218360,494593,254226,3709990171,2851658690,100,100,100,100,1.98,4.52,1.98,1.34
32174,1,19660,45802,22984,256496157,242090920,47552,23973,334097212,319657091,494593,254226,3709990171,2851658690,96.32,95.87,76.77,75.73,9.26,9.04,6.91,8.49
32174,1,37380,1750,989,77601055,77566171,47552,23973,334097212,319657091,95696,48595,1478428576,1257337716,3.68,4.13,23.23,24.27,1.83,2.04,5.25,6.17
32176,1,19660,14339,10386,23457342,13608871,14339,10386,23457342,13608871,494593,254226,3709990171,2851658690,100,100,100,100,2.9,4.09,0.63,0.48
32177,2,37260,27132,11743,667131551,617913462,27132,11743,667131551,617913462,74364,37337,2141716683,1884532662,100,100,100,100,36.49,31.45,31.15,32.79
32179,1,36100,8156,4715,216762917,178112063,8156,4715,216762917,178112063,331298,164050,4306141125,4103955681,100,100,100,100,2.46,2.87,5.03,4.34
32180,1,19660,4204,1567,271855447,258647090,4218,1580,298288289,277346293,494593,254226,3709990171,2851658690,99.67,99.18,91.14,93.26,0.85,0.62,7.33,9.07
32180,1,37380,14,13,26432842,18699203,4218,1580,298288289,277346293,95696,48595,1478428576,1257337716,0.33,0.82,8.86,6.74,0.01,0.03,1.79,1.49
32181,2,37260,2551,1395,70439446,64878213,2551,1395,70439446,64878213,74364,37337,2141716683,1884532662,100,100,100,100,3.43,3.74,3.29,3.44
32187,2,37260,1713,845,70187945,61571998,1713,845,70187945,61571998,74364,37337,2141716683,1884532662,100,100,100,100,2.3,2.26,3.28,3.27
32189,2,37260,5807,3607,71992277,63227563,5807,3607,71992277,63227563,74364,37337,2141716683,1884532662,100,100,100,100,7.81,9.66,3.36,3.36
32190,1,19660,1170,563,91894107,81975663,1170,563,91894107,81975663,494593,254226,3709990171,2851658690,100,100,100,100,0.24,0.22,2.48,2.87
32193,2,37260,825,701,21527216,20561398,825,701,21527216,20561398,74364,37337,2141716683,1884532662,100,100,100,100,1.11,1.88,1.01,1.09
32195,1,36100,2988,1437,65523837,50827504,3328,1612,69450560,54754227,331298,164050,4306141125,4103955681,89.78,89.14,94.35,92.83,0.9,0.88,1.52,1.24
32195,1,36740,340,175,3926723,3926723,3328,1612,69450560,54754227,2134411,942312,10389538806,9009231940,10.22,10.86,5.65,7.17,0.02,0.02,0.04,0.04
32202,1,27260,7915,2090,7565121,5121313,7915,2090,7565121,5121313,1345596,598490,9578857237,8290752876,100,100,100,100,0.59,0.35,0.08,0.06
32204,1,27260,6906,4215,10928334,7054692,6906,4215,10928334,7054692,1345596,598490,9578857237,8290752876,100,100,100,100,0.51,0.7,0.11,0.09
32205,1,27260,28225,14816,24161803,19648105,28225,14816,24161803,19648105,1345596,598490,9578857237,8290752876,100,100,100,100,2.1,2.48,0.25,0.24
32206,1,27260,17669,9576,19819361,15966494,17669,9576,19819361,15966494,1345596,598490,9578857237,8290752876,100,100,100,100,1.31,1.6,0.21,0.19
32207,1,27260,33306,16948,41953838,29858774,33306,16948,41953838,29858774,1345596,598490,9578857237,8290752876,100,100,100,100,2.48,2.83,0.44,0.36
32208,1,27260,30879,14186,34923134,30101524,30879,14186,34923134,30101524,1345596,598490,9578857237,8290752876,100,100,100,100,2.29,2.37,0.36,0.36
32209,1,27260,34305,16980,24257241,24176911,34305,16980,24257241,24176911,1345596,598490,9578857237,8290752876,100,100,100,100,2.55,2.84,0.25,0.29
32210,1,27260,59080,27074,66414139,52180502,59080,27074,66414139,52180502,1345596,598490,9578857237,8290752876,100,100,100,100,4.39,4.52,0.69,0.63
32211,1,27260,30501,14621,23604577,21334397,30501,14621,23604577,21334397,1345596,598490,9578857237,8290752876,100,100,100,100,2.27,2.44,0.25,0.26
32212,1,27260,1959,199,22453214,13707134,1959,199,22453214,13707134,1345596,598490,9578857237,8290752876,100,100,100,100,0.15,0.03,0.23,0.17
32216,1,27260,34876,16667,33736028,32545339,34876,16667,33736028,32545339,1345596,598490,9578857237,8290752876,100,100,100,100,2.59,2.78,0.35,0.39
32217,1,27260,18817,9239,23403024,13674891,18817,9239,23403024,13674891,1345596,598490,9578857237,8290752876,100,100,100,100,1.4,1.54,0.24,0.16
32218,1,27260,53473,21865,260988987,250375622,53473,21865,260988987,250375622,1345596,598490,9578857237,8290752876,100,100,100,100,3.97,3.65,2.72,3.02
32219,1,27260,11886,4842,139594852,138388745,11886,4842,139594852,138388745,1345596,598490,9578857237,8290752876,100,100,100,100,0.88,0.81,1.46,1.67
32220,1,27260,12946,5085,160484172,158902017,12946,5085,160484172,158902017,1345596,598490,9578857237,8290752876,100,100,100,100,0.96,0.85,1.68,1.92
32221,1,27260,27918,10491,93529486,93051202,27918,10491,93529486,93051202,1345596,598490,9578857237,8290752876,100,100,100,100,2.07,1.75,0.98,1.12
32222,1,27260,8691,3575,30042856,29905112,8691,3575,30042856,29905112,1345596,598490,9578857237,8290752876,100,100,100,100,0.65,0.6,0.31,0.36
32223,1,27260,23980,10053,54458649,29732247,23980,10053,54458649,29732247,1345596,598490,9578857237,8290752876,100,100,100,100,1.78,1.68,0.57,0.36
32224,1,27260,38934,16686,57117785,54641711,38934,16686,57117785,54641711,1345596,598490,9578857237,8290752876,100,100,100,100,2.89,2.79,0.6,0.66
32225,1,27260,52485,21597,89585695,68415186,52485,21597,89585695,68415186,1345596,598490,9578857237,8290752876,100,100,100,100,3.9,3.61,0.94,0.83
32226,1,27260,15761,6068,288534612,221436563,15761,6068,288534612,221436563,1345596,598490,9578857237,8290752876,100,100,100,100,1.17,1.01,3.01,2.67
32227,1,27260,2149,540,5614573,3268154,2149,540,5614573,3268154,1345596,598490,9578857237,8290752876,100,100,100,100,0.16,0.09,0.06,0.04
32228,1,27260,314,0,335197,335197,314,0,335197,335197,1345596,598490,9578857237,8290752876,100,0,100,100,0.02,0,0,0
32233,1,27260,23673,10128,34591057,26394319,23673,10128,34591057,26394319,1345596,598490,9578857237,8290752876,100,100,100,100,1.76,1.69,0.36,0.32
32234,1,27260,6606,2679,336747176,335454814,6606,2679,336747176,335454814,1345596,598490,9578857237,8290752876,100,100,100,100,0.49,0.45,3.52,4.05
32244,1,27260,57369,24187,62420928,61067372,57369,24187,62420928,61067372,1345596,598490,9578857237,8290752876,100,100,100,100,4.26,4.04,0.65,0.74
32246,1,27260,48789,20951,49747022,49076116,48789,20951,49747022,49076116,1345596,598490,9578857237,8290752876,100,100,100,100,3.63,3.5,0.52,0.59
32250,1,27260,25356,13640,28568966,22306051,25356,13640,28568966,22306051,1345596,598490,9578857237,8290752876,100,100,100,100,1.88,2.28,0.3,0.27
32254,1,27260,13570,5992,32166953,32077889,13570,5992,32166953,32077889,1345596,598490,9578857237,8290752876,100,100,100,100,1.01,1,0.34,0.39
32256,1,27260,38483,20167,166039397,164081208,38483,20167,166039397,164081208,1345596,598490,9578857237,8290752876,100,100,100,100,2.86,3.37,1.73,1.98
32257,1,27260,36430,16735,43559549,31603959,36430,16735,43559549,31603959,1345596,598490,9578857237,8290752876,100,100,100,100,2.71,2.8,0.45,0.38
32258,1,27260,26759,10853,49738506,48415572,26759,10853,49738506,48415572,1345596,598490,9578857237,8290752876,100,100,100,100,1.99,1.81,0.52,0.58
32259,1,27260,36917,13182,150675927,141641130,36917,13182,150675927,141641130,1345596,598490,9578857237,8290752876,100,100,100,100,2.74,2.2,1.57,1.71
32266,1,27260,7037,3493,7575223,6039907,7037,3493,7575223,6039907,1345596,598490,9578857237,8290752876,100,100,100,100,0.52,0.58,0.08,0.07
32277,1,27260,29517,13109,27784583,18560492,29517,13109,27784583,18560492,1345596,598490,9578857237,8290752876,100,100,100,100,2.19,2.19,0.29,0.22
32301,1,45220,29321,14433,26940666,26768381,29321,14433,26940666,26768381,367413,163078,6740645604,6184107754,100,100,100,100,7.98,8.85,0.4,0.43
32303,1,45220,47359,22317,101856460,91923888,47359,22317,101856460,91923888,367413,163078,6740645604,6184107754,100,100,100,100,12.89,13.68,1.51,1.49
32304,1,45220,46145,19538,40975760,40585058,46145,19538,40975760,40585058,367413,163078,6740645604,6184107754,100,100,100,100,12.56,11.98,0.61,0.66
32305,1,45220,20073,8966,234844755,232098241,20073,8966,234844755,232098241,367413,163078,6740645604,6184107754,100,100,100,100,5.46,5.5,3.48,3.75
32308,1,45220,21586,10863,38691130,38237252,21586,10863,38691130,38237252,367413,163078,6740645604,6184107754,100,100,100,100,5.88,6.66,0.57,0.62
32309,1,45220,30159,12864,296065663,287668433,30159,12864,296065663,287668433,367413,163078,6740645604,6184107754,100,100,100,100,8.21,7.89,4.39,4.65
32310,1,45220,17402,8743,285498449,273247029,17402,8743,285498449,273247029,367413,163078,6740645604,6184107754,100,100,100,100,4.74,5.36,4.24,4.42
32311,1,45220,17493,8311,122423058,115569383,17493,8311,122423058,115569383,367413,163078,6740645604,6184107754,100,100,100,100,4.76,5.1,1.82,1.87
32312,1,45220,31869,12763,315445457,270083117,31869,12763,315445457,270083117,367413,163078,6740645604,6184107754,100,100,100,100,8.67,7.83,4.68,4.37
32317,1,45220,14067,5326,102095361,99064408,14067,5326,102095361,99064408,367413,163078,6740645604,6184107754,100,100,100,100,3.83,3.27,1.51,1.6
32324,1,45220,5445,2026,182568939,181178615,5445,2026,182568939,181178615,367413,163078,6740645604,6184107754,100,100,100,100,1.48,1.24,2.71,2.93
32327,1,45220,26953,10158,647436886,598817557,26953,10158,647436886,598817557,367413,163078,6740645604,6184107754,100,100,100,100,7.34,6.23,9.6,9.68
32330,1,45220,804,312,8722779,8722779,804,312,8722779,8722779,367413,163078,6740645604,6184107754,100,100,100,100,0.22,0.19,0.13,0.14
32331,1,45220,450,232,55341507,54459357,4242,2079,787322290,753108400,367413,163078,6740645604,6184107754,10.61,11.16,7.03,7.23,0.12,0.14,0.82,0.88
32332,1,45220,1642,655,12122624,11781246,1642,655,12122624,11781246,367413,163078,6740645604,6184107754,100,100,100,100,0.45,0.4,0.18,0.19
32333,1,45220,11330,5257,277396439,274144347,11330,5257,277396439,274144347,367413,163078,6740645604,6184107754,100,100,100,100,3.08,3.22,4.12,4.43
32336,1,45220,866,426,156194086,154255611,1391,865,474730427,469086270,367413,163078,6740645604,6184107754,62.26,49.25,32.9,32.88,0.24,0.26,2.32,2.49
32343,1,45220,3044,1223,74567330,68673003,3044,1223,74567330,68673003,367413,163078,6740645604,6184107754,100,100,100,100,0.83,0.75,1.11,1.11
32344,1,45220,13193,5841,1376003056,1334405803,13193,5841,1376003056,1334405803,367413,163078,6740645604,6184107754,100,100,100,100,3.59,3.58,20.41,21.58
32346,1,45220,1459,1157,107054604,65287780,1693,1744,142691941,85604631,367413,163078,6740645604,6184107754,86.18,66.34,75.02,76.27,0.4,0.71,1.59,1.06
32351,1,45220,17486,7327,562526094,542512405,17486,7327,562526094,542512405,367413,163078,6740645604,6184107754,100,100,100,100,4.76,4.49,8.35,8.77
32352,1,45220,6638,2706,250976627,250280605,6638,2706,250976627,250280605,367413,163078,6740645604,6184107754,100,100,100,100,1.81,1.66,3.72,4.05
32355,1,45220,312,221,9262705,8851059,312,221,9262705,8851059,367413,163078,6740645604,6184107754,100,100,100,100,0.08,0.14,0.14,0.14
32358,1,45220,2061,1275,385028745,379152759,2145,1593,413538154,405357228,367413,163078,6740645604,6184107754,96.08,80.04,93.11,93.54,0.56,0.78,5.71,6.13
32361,1,45220,252,133,5938263,5938263,252,133,5938263,5938263,367413,163078,6740645604,6184107754,100,100,100,100,0.07,0.08,0.09,0.1
32399,1,45220,2,1,647912,646288,2,1,647912,646288,367413,163078,6740645604,6184107754,100,100,100,100,0,0,0.01,0.01
32401,1,37460,22647,11764,42637393,27701456,22647,11764,42637393,27701456,168852,99650,2675853749,1964400618,100,100,100,100,13.41,11.81,1.59,1.41
32403,1,37460,2995,935,192661921,114529662,2995,935,192661921,114529662,168852,99650,2675853749,1964400618,100,100,100,100,1.77,0.94,7.2,5.83
32404,1,37460,38425,16640,381872934,333647041,38425,16640,381872934,333647041,168852,99650,2675853749,1964400618,100,100,100,100,22.76,16.7,14.27,16.98
32405,1,37460,29980,13925,60967667,49186653,29980,13925,60967667,49186653,168852,99650,2675853749,1964400618,100,100,100,100,17.76,13.97,2.28,2.5
32407,1,37460,9347,8118,46384768,35920861,9347,8118,46384768,35920861,168852,99650,2675853749,1964400618,100,100,100,100,5.54,8.15,1.73,1.83
