ZCTA5,MEMI,CBSA,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
664,2,46580,142,49,2557138,2557138,16784,6590,117900778,117897373,33149,14192,298027589,294039825,0.85,0.74,2.17,2.17,0.43,0.35,0.86,0.87
667,1,41900,25968,12508,184465372,156201164,25968,12508,184465372,156201164,137462,69481,955442678,571498111,100,100,100,100,18.89,18,19.31,27.33
669,1,10380,29560,12392,153898697,153828469,29744,12458,159587547,159419203,306292,138855,1283409618,928441564,99.38,99.47,96.44,96.49,9.65,8.92,11.99,16.57
670,1,10380,110,52,3623981,3544240,9807,3973,118383179,118025360,306292,138855,1283409618,928441564,1.12,1.31,3.06,3,0.04,0.04,0.28,0.38
674,1,41980,44457,19409,123303654,116400264,44457,19409,123303654,116400264,2478905,1073552,5223033344,4117856690,100,100,100,100,1.79,1.81,2.36,2.83
676,1,10380,40316,16887,130693118,130636635,40316,16887,130693118,130636635,306292,138855,1283409618,928441564,100,100,100,100,13.16,12.16,10.18,14.07
677,1,10380,15272,9730,40732062,37137111,15272,9730,40732062,37137111,306292,138855,1283409618,928441564,100,100,100,100,4.99,7.01,3.17,4
678,1,10380,1900,865,9623616,9526331,27819,11619,72070782,68274095,306292,138855,1283409618,928441564,6.83,7.44,13.35,13.95,0.62,0.62,0.75,1.03
678,1,41980,25919,10754,62447166,58747764,27819,11619,72070782,68274095,2478905,1073552,5223033344,4117856690,93.17,92.56,86.65,86.05,1.05,1,1.2,1.43
680,1,10380,265,138,3276890,3276890,58140,27992,186077627,166248984,306292,138855,1283409618,928441564,0.46,0.49,1.76,1.97,0.09,0.1,0.26,0.35
680,1,32420,56404,27305,178477676,158649033,58140,27992,186077627,166248984,106330,50608,739256959,230481142,97.01,97.55,95.92,95.43,53.05,53.95,24.14,68.83
680,1,41900,1471,549,4323061,4323061,58140,27992,186077627,166248984,137462,69481,955442678,571498111,2.53,1.96,2.32,2.6,1.07,0.79,0.45,0.76
682,1,32420,32615,15489,43678263,37348163,32615,15489,43678263,37348163,106330,50608,739256959,230481142,100,100,100,100,30.67,30.61,5.91,16.2
683,1,41900,33772,15219,135197669,135168308,33772,15219,135197669,135168308,137462,69481,955442678,571498111,100,100,100,100,24.57,21.9,14.15,23.65
685,1,10380,42831,18877,202866463,200808224,42831,18877,202866463,200808224,306292,138855,1283409618,928441564,100,100,100,100,13.98,13.59,15.81,21.63
687,1,41980,32610,12381,100815790,100675764,32610,12381,100815790,100675764,2478905,1073552,5223033344,4117856690,100,100,100,100,1.32,1.15,1.93,2.44
688,1,41980,13543,5353,82478669,82401202,13543,5353,82478669,82401202,2478905,1073552,5223033344,4117856690,100,100,100,100,0.55,0.5,1.58,2
690,1,10380,6255,2773,7303739,7291346,6255,2773,7303739,7291346,306292,138855,1283409618,928441564,100,100,100,100,2.04,2,0.57,0.79
692,1,41980,37511,16026,71307202,69307906,37511,16026,71307202,69307906,2478905,1073552,5223033344,4117856690,100,100,100,100,1.51,1.49,1.37,1.68
693,1,41980,61038,25884,105492827,101838924,61038,25884,105492827,101838924,2478905,1073552,5223033344,4117856690,100,100,100,100,2.46,2.41,2.02,2.47
694,1,41980,328,188,4000664,2043548,328,188,4000664,2043548,2478905,1073552,5223033344,4117856690,100,100,100,100,0.01,0.02,0.08,0.05
698,1,49500,41782,17924,188071102,180309254,41782,17924,188071102,180309254,107333,45631,726214759,497613517,100,100,100,100,38.93,39.28,25.9,36.23
703,1,41980,28605,11417,76883454,76855070,28605,11417,76883454,76855070,2478905,1073552,5223033344,4117856690,100,100,100,100,1.15,1.06,1.47,1.87
704,2,17620,7915,3552,12789381,11015548,8577,3871,14401602,12627769,71590,31096,497661896,381705801,92.28,91.76,88.81,87.23,11.06,11.42,2.57,2.89
704,1,25020,662,319,1612221,1612221,8577,3871,14401602,12627769,84214,37946,564011616,328148208,7.72,8.24,11.19,12.77,0.79,0.84,0.29,0.49
705,2,17620,55,33,2320496,2320087,25598,10297,82820598,82748292,71590,31096,497661896,381705801,0.21,0.32,2.8,2.8,0.08,0.11,0.47,0.61
705,1,41980,25543,10264,80500102,80428205,25598,10297,82820598,82748292,2478905,1073552,5223033344,4117856690,99.79,99.68,97.2,97.2,1.03,0.96,1.54,1.95
